gene_name,gene_id,max_score,avg_score,sum_score,snp_count,min_p,n_sig,top_snps,support,GRASS_score,rank,rank_max,disease
APOE,ENSG00000130203,0.7778071807801744,0.2191284453646009,3.286926680469014,15,9.67738e-232,15,"rs1081105,rs429358,rs12977604,rs10413096,rs769446",0.467167337925951,0.8089475491385308,1,1,AD
PVRL2,ENSG00000130202,0.6507842538339004,0.1984879595475675,9.527422058283241,48,5.79204e-276,48,"rs41289512,rs1081105,rs35396326,rs4803762,rs57537848",0.6557522627754833,0.7194839585574749,2,3,AD
APOC1,ENSG00000130208,0.6638204183784533,0.23692973592681663,4.738594718536333,20,1e-300,20,"rs12691088,rs1081105,rs12721046,rs140480140,rs3826688",0.5129868094313318,0.7155571256700525,3,2,AD
BIN1,ENSG00000136717,0.5608046492731684,0.10200082565689259,1.7340140361671739,17,6.479999999999999e-90,17,"rs6733839,rs4663105,rs4663097,rs4663096,rs7583814",0.4870131905686681,0.6249728279852882,4,6,AD
CLPTM1,ENSG00000104853,0.5410971221445973,0.11100256615628448,3.5520821170011034,32,9.67738e-232,32,"rs1081105,rs12977604,rs10413096,rs769446,rs7254133",0.5891440430475027,0.6222050911923571,5,12,AD
TOMM40,ENSG00000130204,0.5410971221445973,0.20782626117876407,5.819135313005394,28,9.07821e-263,28,"rs1081105,rs111371860,rs34404554,rs11556505,rs71352238",0.5673725122971525,0.6192077857573612,6,12,AD
CTB-129P6.11,ENSG00000267114,0.5410971221445973,0.14793962769942406,2.514973670890209,17,9.67738e-232,17,"rs1081105,rs12977604,rs10413096,rs769446,rs7254133",0.4870131905686681,0.6081446485562483,7,12,AD
APOC4-APOC2,ENSG00000224916,0.5410971221445973,0.16886757492547722,2.5330136238821583,15,9.67738e-232,15,"rs1081105,rs12977604,rs10413096,rs769446,rs7254133",0.467167337925951,0.6054124528888771,8,12,AD
APOC4,ENSG00000267467,0.5410971221445973,0.16886757492547722,2.5330136238821583,15,9.67738e-232,15,"rs1081105,rs12977604,rs10413096,rs769446,rs7254133",0.467167337925951,0.6054124528888771,8,12,AD
APOC2,ENSG00000234906,0.5410971221445973,0.16886757492547722,2.5330136238821583,15,9.67738e-232,15,"rs1081105,rs12977604,rs10413096,rs769446,rs7254133",0.467167337925951,0.6054124528888771,8,12,AD
PLCG2,ENSG00000197943,0.5554931470652031,0.20353303111012444,1.424731217770871,7,3.596e-12,7,"rs72824905,rs11548656,rs147330136,rs12446759,rs12446781",0.3503755034444632,0.6022164407796662,11,10,AD
TREM2,ENSG00000095970,0.5653478947191163,0.363891680812584,1.091675042437752,3,2.948e-12,3,"rs143332484,rs75932628,rs9357347",0.2335836689629755,0.5958061847613134,12,5,AD
CBLC,ENSG00000142273,0.5393694931930009,0.23788502153530425,2.3788502153530424,10,2.8014700000000002e-102,10,"rs4803762,rs111371860,rs138573164,rs2967668,rs74579864",0.4040333650039125,0.5952025212996077,13,18,AD
APH1B,ENSG00000138613,0.5708159332666539,0.3052307592106603,0.6104615184213206,2,1.746e-21,2,"rs117618017,rs75763893",0.18511067804359016,0.5946498993462085,14,4,AD
